account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,payment_delay
33,no,no,0,200.5,117,159.9,111,196.2,84,16.3,6,3,no
80,yes,no,0,276.5,122,195.6,79,210.3,78,7.2,3,1,yes
37,no,no,0,134.9,98,248.4,130,236.2,113,14.7,2,3,no
106,no,no,0,119.2,142,228.4,139,197.9,61,8.4,9,2,no
123,no,no,0,260.9,85,168.5,103,178.3,91,13.3,5,3,no
152,no,yes,20,239.1,105,209.1,111,268.2,130,13.3,3,5,no
87,no,no,0,204.8,101,161.0,80,285.7,89,9.5,3,0,no
110,no,no,0,271.1,108,237.0,122,239.9,122,9.8,5,2,yes
66,no,yes,21,134.4,110,136.2,104,215.6,105,9.7,4,3,no
119,yes,yes,22,172.1,119,223.6,133,150.0,94,13.9,20,1,yes
55,no,yes,28,222.5,134,177.8,106,194.6,90,9.7,4,2,no
128,no,no,0,221.0,109,219.0,107,229.4,113,8.6,5,3,no
104,no,yes,23,280.2,136,220.5,92,136.9,102,13.3,3,4,no
116,no,no,0,217.3,91,216.1,95,148.1,76,11.3,3,2,no
128,no,no,0,103.3,122,245.9,123,161.1,95,6.4,7,0,no
36,no,no,0,175.1,144,216.9,69,243.7,146,9.9,3,1,no
85,no,no,0,212.3,107,228.4,103,163.3,116,7.7,3,0,no
72,yes,no,0,286.1,101,306.1,94,232.8,89,10.3,1,4,yes
35,no,no,0,179.8,82,176.1,78,132.6,85,12.0,5,1,no
46,yes,yes,27,170.9,73,184.7,77,130.8,94,6.1,7,2,no
82,no,no,0,189.2,81,184.4,117,255.8,83,10.6,5,3,yes
132,no,no,0,197.8,66,133.9,119,177.3,94,10.9,3,4,yes
105,no,no,0,147.7,103,222.7,78,163.5,102,12.8,3,2,no
107,no,yes,36,96.3,83,179.6,91,166.3,121,10.3,2,1,no
49,no,no,0,172.0,142,224.0,100,177.3,86,7.4,1,0,no
105,no,yes,20,186.9,114,256.3,91,334.7,104,8.9,2,1,no
9,no,yes,16,88.5,87,178.8,108,228.7,96,11.5,3,2,no
109,no,no,0,137.0,128,217.0,116,182.1,86,10.0,5,2,no
87,no,no,0,297.4,63,118.4,108,242.3,72,11.0,2,2,yes
43,no,yes,36,93.1,68,246.1,83,94.9,109,8.7,8,1,no
49,no,no,0,167.2,94,218.1,121,313.1,109,7.8,5,3,no
117,no,yes,23,198.1,86,177.0,86,180.5,92,6.8,6,1,no
112,no,yes,16,221.6,110,130.2,123,200.0,108,11.3,3,1,no
105,no,no,0,211.1,99,176.7,66,221.5,96,14.7,7,4,no
102,yes,no,0,233.8,103,221.6,131,146.9,106,12.8,3,0,no
125,no,no,0,138.5,96,159.7,117,212.7,91,7.7,3,2,no
77,no,yes,33,143.0,101,212.2,102,104.9,120,15.3,4,5,yes
99,no,no,0,128.8,86,203.9,105,282.6,131,14.1,4,2,no
39,no,no,0,93.3,83,199.6,114,206.2,104,6.5,4,0,no
63,no,yes,33,184.2,111,312.6,89,264.0,55,12.2,4,1,no
161,no,no,0,178.1,109,146.5,86,137.6,78,8.5,2,1,no
155,no,yes,30,61.6,103,255.1,110,225.9,96,12.4,5,1,no
58,no,no,0,149.4,145,196.5,105,209.5,108,14.9,3,1,no
129,no,yes,37,205.0,94,165.4,103,185.0,81,11.7,8,1,no
123,no,no,0,225.6,102,225.8,56,186.7,128,6.7,2,1,no
3,no,yes,27,67.4,116,244.0,78,281.1,93,11.4,2,2,no
124,no,no,0,158.6,104,211.2,77,179.3,104,10.2,8,3,no
76,no,no,0,299.5,125,226.7,92,210.7,134,13.7,4,0,yes
99,no,no,0,190.4,102,158.1,107,271.5,92,11.2,4,2,no
84,no,no,0,148.8,89,189.8,93,147.6,73,6.3,2,1,no
103,no,yes,34,240.6,92,204.2,99,297.0,82,12.7,9,5,no
117,no,yes,38,259.3,94,245.6,71,269.3,125,9.2,1,3,no
59,no,no,0,160.9,95,251.2,65,273.4,97,5.0,5,3,no
190,no,no,0,150.9,86,268.6,129,179.9,73,14.7,1,1,no
128,no,no,0,216.0,111,153.7,115,227.0,74,12.7,4,1,no
135,no,no,0,173.4,107,222.0,84,64.2,94,13.7,6,1,no
88,no,yes,28,190.6,104,237.3,105,211.6,116,9.8,1,2,no
36,no,no,0,235.1,97,196.8,104,259.7,110,7.0,7,3,no
140,no,no,0,151.5,106,175.7,125,214.1,87,12.4,9,3,no
68,no,no,0,150.4,106,199.0,131,109.7,103,12.3,3,3,no
83,no,no,0,167.0,120,209.1,102,131.0,107,8.6,2,1,no
123,no,no,0,114.8,94,150.0,104,268.6,119,9.6,4,2,no
200,no,no,0,195.4,71,249.4,96,233.1,132,12.9,2,3,no
149,no,yes,20,264.4,102,219.6,123,200.4,89,11.3,3,2,no
71,no,no,0,290.4,108,253.9,92,263.3,126,10.1,5,3,yes
134,no,no,0,204.7,108,143.1,105,165.8,84,11.0,4,6,no
47,no,yes,37,163.5,77,203.1,102,232.0,87,7.8,4,2,no
140,no,no,0,191.8,67,261.1,52,252.7,112,10.8,3,6,no
94,no,no,0,252.6,104,169.0,125,170.9,106,11.1,7,2,no
75,no,no,0,150.6,99,301.5,83,158.7,104,8.1,5,0,no
50,no,no,0,295.3,127,127.4,100,166.8,105,9.6,6,1,no
64,no,yes,31,281.9,121,240.6,104,212.2,120,7.0,5,3,no
52,no,no,0,129.3,80,142.7,101,258.3,89,12.3,4,3,no
83,no,yes,30,272.5,105,253.0,83,180.8,123,8.7,6,3,no
29,no,no,0,182.1,92,180.4,91,206.4,128,7.2,2,2,no
22,no,no,0,110.3,107,166.5,93,202.3,96,9.5,5,0,no
134,no,yes,40,142.9,105,88.6,61,290.0,96,10.8,6,1,no
43,no,no,0,27.0,117,160.9,97,279.5,96,10.7,3,3,no
118,no,no,0,224.6,94,225.9,120,269.0,105,12.5,8,2,no
127,no,yes,27,2.6,113,254.0,102,242.7,156,9.2,5,3,no
92,yes,no,0,173.1,140,240.3,105,233.2,117,9.0,5,1,no
75,no,yes,46,214.1,62,200.9,111,246.8,126,9.2,6,0,no
122,no,no,0,189.9,87,193.9,118,177.4,114,15.6,2,0,no
65,no,no,0,207.7,109,217.5,117,125.6,111,8.0,5,1,no
129,no,yes,36,192.8,103,177.0,83,216.5,118,16.4,5,1,no
88,yes,no,0,235.1,98,251.8,79,285.9,76,7.2,2,4,yes
116,no,no,0,129.4,84,157.3,89,215.5,77,13.3,3,0,no
120,no,no,0,184.5,103,209.0,86,169.7,70,10.2,6,2,no
96,no,yes,21,247.6,95,256.3,150,158.6,72,10.8,6,2,no
115,no,no,0,275.5,76,225.8,82,327.3,87,4.8,2,3,yes
90,no,no,0,109.9,102,220.8,114,104.0,133,10.9,6,0,no
91,yes,no,0,151.8,115,103.6,116,156.3,86,12.2,4,1,no
93,no,yes,37,230.4,95,155.5,89,179.0,90,10.4,9,3,no
94,yes,no,0,170.1,113,271.8,94,110.7,78,8.7,4,1,no
90,no,yes,32,276.6,76,138.3,90,279.6,88,6.8,3,3,no
121,no,yes,22,212.3,107,238.0,94,332.8,114,10.4,2,1,no
134,no,no,0,178.0,110,153.8,64,236.6,105,11.7,4,1,no
99,no,no,0,214.9,103,218.4,121,272.6,110,9.6,3,2,no
233,no,no,0,137.3,94,232.4,87,206.0,105,9.8,4,1,no
87,no,no,0,169.1,105,169.9,102,244.9,106,9.9,10,3,no
16,no,no,0,205.6,69,169.5,93,220.1,64,10.9,3,0,no
72,yes,no,0,274.0,75,162.8,110,110.0,121,7.7,3,4,no
151,no,yes,31,240.7,102,106.5,96,195.7,128,10.6,2,2,no
171,yes,no,0,191.6,83,181.1,103,195.3,73,8.6,3,3,no
148,no,no,0,178.3,98,282.6,110,181.0,98,11.4,4,1,no
68,no,no,0,143.6,80,134.3,65,215.6,84,15.5,5,2,no
125,no,no,0,206.0,128,198.1,71,135.9,116,13.2,3,0,no
179,no,no,0,219.2,92,149.4,125,244.7,104,6.1,5,0,no
141,no,no,0,260.2,131,179.2,120,135.0,119,7.2,8,3,no
93,no,no,0,146.3,85,216.6,95,233.0,82,11.5,3,0,no
135,no,no,0,239.9,91,177.1,104,217.2,118,5.9,3,2,no
20,no,yes,35,171.5,98,153.1,127,165.6,125,7.1,3,0,no
78,no,no,0,211.4,105,249.9,77,199.6,129,9.3,2,2,no
91,no,no,0,153.2,70,231.7,91,115.1,80,9.8,3,4,yes
17,no,yes,31,153.1,115,185.9,59,224.3,102,10.0,1,6,yes
47,no,yes,28,141.3,94,168.0,108,113.5,84,7.8,2,1,no
114,no,no,0,147.1,119,161.0,111,275.9,106,9.0,3,5,yes
80,no,no,0,268.7,120,301.0,147,167.0,140,5.8,1,2,yes
70,no,no,0,198.6,111,213.9,115,171.2,105,10.6,6,2,no
85,no,no,0,183.4,111,168.8,98,199.7,97,9.9,4,4,no
113,no,no,0,161.1,133,205.3,95,60.3,93,12.2,2,2,no
72,no,yes,21,186.7,108,335.0,86,187.2,119,16.5,4,1,no
80,no,yes,33,189.4,109,148.7,68,208.9,119,11.2,4,1,yes
67,no,yes,30,129.6,107,233.0,104,297.0,93,14.5,5,1,no
121,no,no,0,150.7,105,197.3,133,169.0,116,9.2,15,1,no
